=== 10-fold Cross-validation ===
Correlation coefficient                  0.999 
Mean absolute error                      9.5052
Root mean squared error                 11.5855
Relative absolute error                  4.1391 %
Root relative squared error              4.4142 %
Total Number of Instances               31     

 inst#     actual  predicted      error (dia1)
     1    581        573.706     -7.294 (458)
     2    977        967.854     -9.146 (855)
     3    702        708.776      6.776 (581)
     4    397        398.737      1.737 (308)
     1    245        229.432    -15.568 (92)
     2    641        643.609      2.609 (519)
     3    550        542.447     -7.553 (427)
     1    182        174.991     -7.009 (31)
     2    458        441.174    -16.826 (339)
     3    519        504.776    -14.224 (397)
     1    308        307.406     -0.594 (184)
     2    275        282.793      7.793 (182)
     3    794        796.843      2.843 (672)
     1    154        164.618     10.618 (2)
     2    184        212.139     28.139 (61)
     3    885        890.655      5.655 (761)
     1    611        613.533      2.533 (488)
     2    855        866.799     11.799 (732)
     3    427        426.126     -0.874 (336)
     1   1007        988.756    -18.244 (885)
     2    672        677.395      5.395 (550)
     3    274        260.144    -13.856 (154)
     1    915        927.827     12.827 (794)
     2    761        780.958     19.958 (641)
     3    368        386.154     18.154 (275)
     1    824        827.652      3.652 (702)
     2    339        354.675     15.675 (274)
     3    732        735.94       3.94  (611)
     1    336        340.28       4.28  (245)
     2    947        942.97      -4.03  (824)
