=== 10-fold Cross-validation ===
Correlation coefficient                  0.9909
Mean absolute error                     10.7495
Root mean squared error                 13.0818
Relative absolute error                 12.3793 %
Root relative squared error             12.7828 %
Total Number of Instances               23     

 inst#     actual  predicted      error (dia1)
     1    639        635.595     -3.405 (613)
     2    565        570.183      5.183 (548)
     3    354        375.576     21.576 (339)
     1    473        462.933    -10.067 (412)
     2    523        522.651     -0.349 (506)
     3    550        563.071     13.071 (536)
     1    504        489.447    -14.553 (444)
     2    536        537.442      1.442 (508)
     3    610        605.181     -4.819 (597)
     1    364        370.471      6.471 (350)
     2    506        534.707     28.707 (473)
     1    613        614.468      1.468 (610)
     2    599        615.407     16.407 (565)
     1    626        615.751    -10.249 (611)
     2    611        615.932      4.932 (599)
     1    597        579.398    -17.602 (550)
     2    508        522.543     14.543 (504)
     1    384        370.788    -13.212 (354)
     2    339        333.453     -5.547 (306)
     1    548        551.293      3.293 (523)
     2    350        360.026     10.026 (321)
     1    444        422.217    -21.783 (384)
