=== 10-fold Cross-validation ===
Correlation coefficient                  0.9992
Mean absolute error                      6.1129
Root mean squared error                 10.3791
Relative absolute error                  2.6619 %
Root relative squared error              3.9545 %
Total Number of Instances               31     

 inst#     actual  predicted      error (dia1)
     1    581        583.215      2.215 (458)
     2    977        977.012      0.012 (855)
     3    702        700.555     -1.445 (581)
     4    397        399.541      2.541 (308)
     1    245        233.298    -11.702 (92)
     2    641        641.389      0.389 (519)
     3    550        552.142      2.142 (427)
     1    182        167.925    -14.075 (31)
     2    458        451.592     -6.408 (339)
     3    519        521.821      2.821 (397)
     1    308        309.404      1.404 (184)
     2    275        295.161     20.161 (182)
     3    794        795.256      1.256 (672)
     1    154        168.14      14.14  (2)
     2    184        220.317     36.317 (61)
     3    885        884.279     -0.721 (761)
     1    611        613.411      2.411 (488)
     2    855        855.92       0.92  (732)
     3    427        428.804      1.804 (336)
     1   1007       1018.844     11.844 (885)
     2    672        669.596     -2.404 (550)
     3    274        267.594     -6.406 (154)
     1    915        916.009      1.009 (794)
     2    761        764.202      3.202 (641)
     3    368        371.65       3.65  (275)
     1    824        824.449      0.449 (702)
     2    339        347.409      8.409 (274)
     3    732        731.059     -0.941 (611)
     1    336        309.294    -26.706 (245)
     2    947        947.761      0.761 (824)
