=== 10-fold Cross-validation ===
Correlation coefficient                  0.9944
Mean absolute error                      8.2097
Root mean squared error                 10.3036
Relative absolute error                  9.4544 %
Root relative squared error             10.0681 %
Total Number of Instances               23     

 inst#     actual  predicted      error (dia1)
     1    639        632.997     -6.003 (613)
     2    565        558.884     -6.116 (548)
     3    354        371.578     17.578 (339)
     1    473        467.176     -5.824 (412)
     2    523        522.089     -0.911 (506)
     3    550        557.933      7.933 (536)
     1    504        490.659    -13.341 (444)
     2    536        533.243     -2.757 (508)
     3    610        610.727      0.727 (597)
     1    364        373.31       9.31  (350)
     2    506        515.415      9.415 (473)
     1    613        625.925     12.925 (610)
     2    599        596.956     -2.044 (565)
     1    626        626.299      0.299 (611)
     2    611        619.713      8.713 (599)
     1    597        571.464    -25.536 (550)
     2    508        523.383     15.383 (504)
     1    384        381.684     -2.316 (354)
     2    339        323.693    -15.307 (306)
     1    548        544.402     -3.598 (523)
     2    350        345.948     -4.052 (321)
     1    444        437.774     -6.226 (384)
