=== 10-fold Cross-validation ===
Correlation coefficient                  0.9561
Mean absolute error                     23.2954
Root mean squared error                 42.4878
Relative absolute error                 16.512  %
Root relative squared error             28.6947 %
Total Number of Instances               22     

 inst#     actual  predicted      error (dia1)
     1    241        280.808     39.808 (227)
     2    509        495.602    -13.398 (435)
     3    525        522.791     -2.209 (509)
     1    180        178.851     -1.149 (158)
     2    531        513.916    -17.084 (510)
     3    220        217.144     -2.856 (180)
     1    510        512.505      2.505 (462)
     2    234        269.312     35.312 (220)
     1    243        293.229     50.229 (234)
     2    523        515.229     -7.771 (502)
     1    158        138.929    -19.071 (137)
     2    435        389.35     -45.65  (241)
     1    434        261.536   -172.464 (235)
     2    235        247.662     12.662 (221)
     1    165        155.233     -9.767 (144)
     2    502        490.122    -11.878 (434)
     1    199        205.58       6.58  (172)
     2    227        252.211     25.211 (199)
     1    172        169.05      -2.95  (151)
     2    221        235.245     14.245 (192)
     1    192        190.367     -1.633 (165)
