=== 10-fold Cross-validation ===
Correlation coefficient                  0.9964
Mean absolute error                     20.797 
Root mean squared error                 24.8095
Relative absolute error                  7.7251 %
Root relative squared error              8.1103 %
Total Number of Instances               29     

 inst#     actual  predicted      error (dia1)
     1     83        116.671     33.671 (5)
     2   1006        976.871    -29.129 (922)
     3    196        186.449     -9.551 (136)
     1    136        114.227    -21.773 (69)
     2    425        419.935     -5.065 (364)
     3    242        254.49      12.49  (196)
     1    847        831.907    -15.093 (755)
     2    755        756.062      1.062 (704)
     3    516        520.991      4.991 (425)
     1    947        956.091      9.091 (857)
     2    691        666.824    -24.176 (614)
     3    811        772.047    -38.953 (714)
     1    289        271.541    -17.459 (215)
     2    614        603.216    -10.784 (516)
     3   1069       1087.079     18.079 (1006)
     1    153        157.323      4.323 (83)
     2    503        453.341    -49.659 (383)
     3    704        721.617     17.617 (638)
     1    342        312.381    -29.619 (242)
     2    352        366.365     14.365 (289)
     3    383        407.208     24.208 (352)
     1    569        558.194    -10.806 (503)
     2    922        938.507     16.507 (847)
     3    638        647.929      9.929 (569)
     1   1044       1007.635    -36.365 (947)
     2    364        396.888     32.888 (342)
     3    714        747.65      33.65  (691)
     1    215        230.083     15.083 (153)
